Tahun;Kode_BLU;Nama_BLU;Pendapatan_akhir;Pendapatan_tengah;Subrumpun;Wilayah;Inflasi_maret;PDRB;Pertumbuhan_ekonomi;Kebijakan_fiskal;BI_Rate;Suku_Bunga;Tingkat_Kemiskinan;Tingkat_Pengangguran
2017;130467;RUMKIT BHAYANGKARA PONTIANAK;32877087327;16497757221;RS Polri;Kalimantan Barat;0.36;4.25E+13;4.68;1;13548;4.75;7.88;4.36
2017;237551;PUSAT VETERINER FARMA SURABAYA;43917316664;4755831864;Balai Besar;Jawa Timur;3.79;4.80E+14;5.05;1;13548;4.75;11.2;4
2017;247136;BALAI BESAR INDUSTRI AGRO;26453866970;11732206798;Balai Besar;Jawa Barat;3.37;4.46E+14;3.87;1;13548;4.75;8.71;8.49
2017;247140;BALAI BESAR BAHAN DAN BARANG TEKNIK;28615565426;9208248642;Balai Besar;Jawa Barat;3.37;4.46E+14;3.87;1;13548;4.75;8.71;8.49
2017;247161;BALAI BESAR TEKNOLOGI PENCEGAHAN PENCEMARAN INDUSTRI SEMARANG;12798625786;4488476433;Balai Besar;Jawa Tengah;3.71;1.17E+15;3;1;13548;4.75;13.01;4.57
2017;258462;RUMAH SAKIT UMUM PUSAT DR. TADJUDIN CHALID MAKASSAR;24017431868;8648404000;RS Kemenkes;Sulawesi Selatan;-0.18;1.03E+14;6.75;1;13548;4.75;9.38;5.61
2017;287494;POLITEKNIK ILMU PELAYARAN MAKASSAR;1.05714E+11;42139235680;Vokasi;Sulawesi Selatan;-0.18;1.03E+14;6.75;1;13548;4.75;9.38;5.61
2017;288127;POLITEKNIK PENERBANGAN INDONESIA CURUG;84915284542;29025501630;Vokasi;Banten;1.28;1.39E+14;5.75;1;13548;4.75;5.45;7.75
2017;288393;BANDAR UDARA JALALUDIN DI GORONTALO;11210205058;0;Bandara;Gorontalo;4.34;8.34E+12;6.64;1;13548;4.75;16.81;3.65
2017;288621;BANDAR UDARA FATMAWATI;18406166529;0;Bandara;Bengkulu;3.56;6.07E+13;4.98;1;13548;4.75;16.45;2.81
2017;307314;UIN ALAUDDIN MAKASSAR;83621446545;35816036869;PTKIN;Sulawesi Selatan;-0.18;1.03E+14;6.75;1;13548;4.75;9.38;5.61
2017;411956;BALAI BESAR INSEMINASI BUATAN  SINGOSARI;29955966145;6945475852;Balai Besar;Jawa Timur;3.79;4.80E+14;5.05;1;13548;4.75;11.2;4
2017;412600;PUSAT PENELITIAN DAN PENGEMBANGAN TEKNOLOGI MINYAK DAN GAS BUMI JAKARTA;75213487497;16735445177;Balai Besar;Dki Jakarta;3.72;5.66E+14;6.2;1;13548;4.75;3.77;7.14
2017;414298;POLITEKNIK KESELAMATAN TRANSPORTASI JALAN;21616802890;4168927648;Vokasi;Jawa Tengah;3.71;1.17E+15;3;1;13548;4.75;13.01;4.57
2017;414302;SEKOLAH TINGGI ILMU PELAYARAN;1.07159E+11;62017194201;Vokasi;Dki Jakarta;3.72;5.66E+14;6.2;1;13548;4.75;3.77;7.14
2017;414324;BALAI BESAR PENDIDIKAN PENYEGARAN DAN PENINGKATAN ILMU PELAYARAN (BP3IP);93858762422;42246789951;Vokasi;Dki Jakarta;3.72;5.66E+14;6.2;1;13548;4.75;3.77;7.14
2017;414330;POLITEKNIK ILMU PELAYARAN SEMARANG;1.14649E+11;54195663266;Vokasi;Jawa Tengah;3.71;1.17E+15;3;1;13548;4.75;13.01;4.57
2017;414349;Balai Pendidikan dan Pelatihan Transportasi Laut (BP2TL) Jakarta;5319094833;613932140;Vokasi;Dki Jakarta;3.72;5.66E+14;6.2;1;13548;4.75;3.77;7.14
2017;414355;POLITEKNIK TRANSPORTASI DARAT INDONESIA - STTD;34556158678;6275369721;Vokasi;Jawa Barat;3.37;4.46E+14;3.87;1;13548;4.75;8.71;8.49
2017;414361;POLITEKNIK PELAYARAN BAROMBONG;1.10984E+11;38228607747;Vokasi;Sulawesi Selatan;-0.18;1.03E+14;6.75;1;13548;4.75;9.38;5.61
2017;415381;BALAI BESAR KESEHATAN PARU MASYARAKAT BANDUNG;9543395858;3775617800;Balai Kesehatan;Jawa Barat;3.37;4.46E+14;3.87;1;13548;4.75;8.71;8.49
2017;415397;RUMAH SAKIT UMUM PUSAT SURAKARTA;8147530822;3500533118;RS Kemenkes;Jawa Tengah;3.71;1.17E+15;3;1;13548;4.75;13.01;4.57
2017;415401;BALAI BESAR KESEHATAN PARU MASYARAKAT SULAWESI SELATAN;8750854684;2740796431;Balai Kesehatan;Sulawesi Selatan;-0.18;1.03E+14;6.75;1;13548;4.75;9.38;5.61
2017;415423;RUMAH SAKIT UMUM DR CIPTO MANGUN KUSUMO JAKARTA;1.59036E+12;8.69984E+11;RS Kemenkes;Dki Jakarta;3.72;5.66E+14;6.2;1;13548;4.75;3.77;7.14
2017;415432;RUMAH SAKIT FATMAWATI JAKARTA;4.86246E+11;2.39148E+11;RS Kemenkes;Dki Jakarta;3.72;5.66E+14;6.2;1;13548;4.75;3.77;7.14
2017;415448;RUMAH SAKIT UMUM PERSAHABATAN;3.9039E+11;1.82697E+11;RS Kemenkes;Dki Jakarta;3.72;5.66E+14;6.2;1;13548;4.75;3.77;7.14
2017;415454;RUMAH SAKIT JIWA DR. SOEHARTO HEERDJAN JAKARTA;39532777974;19921410582;RS Kemenkes;Dki Jakarta;3.72;5.66E+14;6.2;1;13548;4.75;3.77;7.14
2017;415460;BALAI BESAR LABORATORIUM KESEHATAN JAKARTA;8345556883;1963090535;Balai Kesehatan;Dki Jakarta;3.72;5.66E+14;6.2;1;13548;4.75;3.77;7.14
2017;415479;RUMAH SAKIT UMUM DR HASAN SADIKIN BANDUNG;6.52863E+11;2.37767E+11;RS Kemenkes;Jawa Barat;3.37;4.46E+14;3.87;1;13548;4.75;8.71;8.49
2017;415485;RUMAH SAKIT PARU DR. H.A. ROTINSULU BANDUNG;46952622835;11518883394;RS Kemenkes;Jawa Barat;3.37;4.46E+14;3.87;1;13548;4.75;8.71;8.49
2017;415491;RUMAH SAKIT MATA CICENDO BANDUNG;1.63339E+11;86701310659;RS Kemenkes;Jawa Barat;3.37;4.46E+14;3.87;1;13548;4.75;8.71;8.49
2017;415505;RUMAH SAKIT DR. MARZUKI MAHDI BOGOR;97161079398;34538435773;RS Kemenkes;Jawa Barat;3.37;4.46E+14;3.87;1;13548;4.75;8.71;8.49
2017;415511;RUMAH SAKIT PARU DR.M.GOENAWAN PARTOWIDIGDO CISARUA;75270251751;36003391548;RS Kemenkes;Jawa Barat;3.37;4.46E+14;3.87;1;13548;4.75;8.71;8.49
2017;415520;RUMAH SAKIT UMUM PUSAT DR. SITANALA TANGERANG;33835567178;12149721680;RS Kemenkes;Banten;1.28;1.39E+14;5.75;1;13548;4.75;5.45;7.75
2017;415536;RSU DR KARIADI SEMARANG;1.0504E+12;5.99476E+11;RS Kemenkes;Jawa Tengah;3.71;1.17E+15;3;1;13548;4.75;13.01;4.57
2017;415542;RS JIWA PROF. DR. SOEROYO MAGELANG;69518304116;33811590025;RS Kemenkes;Jawa Tengah;3.71;1.17E+15;3;1;13548;4.75;13.01;4.57
